formula, size, total, solver, subsumption, reverse
counter_10.ltl, 303, 5000, 5000, 5000, 
counter_11.ltl, 336, 5000, 5000, 5000, 
counter_12.ltl, 371, 5000, 5000, 5000, 
counter_13.ltl, 408, 5000, 5000, 5000, 
counter_14.ltl, 447, 5000, 5000, 5000, 
counter_15.ltl, 488, 5000, 5000, 5000, 
counter_16.ltl, 531, 5000, 5000, 5000, 
counter_2.ltl, 111, 5, 0, 2, 
counter_3.ltl, 128, 10, 0, 7, 
counter_4.ltl, 147, 26, 1, 16, 
counter_5.ltl, 168, 83, 10, 63, 
counter_6.ltl, 191, 255, 23, 186, 
counter_7.ltl, 216, 864, 53, 725, 
counter_8.ltl, 243, 3953, 86, 3661, 
counter_9.ltl, 272, 5000, 5000, 5000, 
counter_l_10.ltl, 213, 5000, 5000, 5000, 
counter_l_11.ltl, 227, 5000, 5000, 5000, 
counter_l_12.ltl, 241, 5000, 5000, 5000, 
counter_l_13.ltl, 255, 5000, 5000, 5000, 
counter_l_14.ltl, 269, 5000, 5000, 5000, 
counter_l_15.ltl, 283, 5000, 5000, 5000, 
counter_l_16.ltl, 297, 5000, 5000, 5000, 
counter_l_2.ltl, 101, 4, 0, 1, 
counter_l_3.ltl, 115, 8, 1, 4, 
counter_l_4.ltl, 129, 24, 3, 15, 
counter_l_5.ltl, 143, 101, 12, 78, 
counter_l_6.ltl, 157, 516, 17, 467, 
counter_l_7.ltl, 171, 4563, 35, 4456, 
counter_l_8.ltl, 185, 5000, 5000, 5000, 
counter_l_9.ltl, 199, 5000, 5000, 5000, 
lift_2.ltl, 247, 958, 56, 823, 
lift_3.ltl, 366, 5000, 5000, 5000, 
lift_4.ltl, 488, 5000, 5000, 5000, 
lift_5.ltl, 613, 5000, 5000, 5000, 
lift_6.ltl, 741, 5000, 5000, 5000, 
lift_7.ltl, 872, 5000, 5000, 5000, 
lift_8.ltl, 1006, 5000, 5000, 5000, 
lift_9.ltl, 1143, 5000, 5000, 5000, 
lift_b_2.ltl, 242, 180, 19, 139, 
lift_b_3.ltl, 473, 5000, 5000, 5000, 
lift_b_4.ltl, 606, 5000, 5000, 5000, 
lift_b_5.ltl, 969, 5000, 5000, 5000, 
lift_b_6.ltl, 1147, 5000, 5000, 5000, 
lift_b_7.ltl, 1322, 5000, 5000, 5000, 
lift_b_8.ltl, 1486, 5000, 5000, 5000, 
lift_b_9.ltl, 2071, 5000, 5000, 5000, 
P0.5N2L10.form, 16, 3, 0, 0, 
P0.5N2L10.form1, 10, 3, 0, 0, 
P0.5N2L10.form2, 13, 4, 0, 0, 
P0.5N2L10.form3, 16, 4, 1, 0, 
P0.5N2L10.form4, 16, 2, 0, 0, 
P0.5N2L10.form5, 13, 3, 0, 1, 
P0.5N2L10.form6, 16, 4, 1, 0, 
P0.5N2L10.form7, 13, 3, 0, 0, 
P0.5N2L10.form8, 16, 3, 1, 0, 
P0.5N2L10.form9, 13, 3, 0, 0, 
P0.5N2L10.form10, 16, 4, 1, 1, 
P0.5N2L10.form11, 16, 3, 0, 0, 
P0.5N2L10.form12, 13, 3, 0, 0, 
P0.5N2L10.form13, 16, 3, 0, 0, 
P0.5N2L10.form14, 10, 3, 0, 0, 
P0.5N2L10.form15, 10, 3, 0, 0, 
P0.5N2L10.form16, 13, 5, 0, 0, 
P0.5N2L10.form17, 16, 4, 0, 0, 
P0.5N2L10.form18, 10, 3, 0, 0, 
P0.5N2L10.form19, 16, 2, 0, 0, 
P0.5N2L10.form20, 16, 2, 0, 0, 
P0.5N2L10.form21, 13, 3, 1, 0, 
P0.5N2L10.form22, 19, 3, 1, 0, 
P0.5N2L10.form23, 13, 3, 0, 0, 
P0.5N2L10.form24, 10, 3, 0, 0, 
