formula, size, congruence, reverse, result 
counter_10.ltl, 303, 143, TO, true
counter_11.ltl, 336, 36, TO, true
counter_12.ltl, 371, 42, TO, true
counter_13.ltl, 408, 42, TO, true
counter_14.ltl, 447, 38, TO, true
counter_15.ltl, 488, 73, TO, true
counter_16.ltl, 531, 49, TO, true
counter_2.ltl, 111, 2, 83, true
counter_3.ltl, 128, 2, 414, true
counter_4.ltl, 147, 3, TO, true
counter_5.ltl, 168, 4, TO, true
counter_6.ltl, 191, 5, TO, true
counter_7.ltl, 216, 7, TO, true
counter_8.ltl, 243, 8, TO, true
counter_9.ltl, 272, 10, TO, true
counter_l_10.ltl, 213, 22, TO, true
counter_l_11.ltl, 227, 13, TO, true
counter_l_12.ltl, 241, 16, TO, true
counter_l_13.ltl, 255, 16, TO, true
counter_l_14.ltl, 269, 20, TO, true
counter_l_15.ltl, 283, 22, TO, true
counter_l_16.ltl, 297, 23, TO, true
counter_l_2.ltl, 101, 1, 26, true
counter_l_3.ltl, 115, 2, 94, true
counter_l_4.ltl, 129, 4, 272, true
counter_l_5.ltl, 143, 4, 886, true
counter_l_6.ltl, 157, 5, TO, true
counter_l_7.ltl, 171, 7, TO, true
counter_l_8.ltl, 185, 7, TO, true
counter_l_9.ltl, 199, 8, TO, true
lift_2.ltl, 247, 9, TO, true
lift_3.ltl, 366, 20, TO, true
lift_4.ltl, 488, 61, TO, true
lift_5.ltl, 613, 315, TO, true
lift_6.ltl, 741, 1366, TO, true
lift_7.ltl, 872, TO, TO, TO
lift_8.ltl, 1006, TO, TO, TO
lift_9.ltl, 1143, TO, TO, TO
lift_b_2.ltl, 242, 9, TO, true
lift_b_3.ltl, 473, 68, TO, true
lift_b_4.ltl, 606, 236, TO, true
lift_b_5.ltl, 969, TO, TO, TO
lift_b_6.ltl, 1147, TO, TO, TO
lift_b_7.ltl, 1322, TO, TO, TO
lift_b_8.ltl, 1486, TO, TO, TO
lift_b_9.ltl, 2071, TO, TO, TO
P0.5N2L10.form, 16, 16, 1, true
P0.5N2L10.form1, 10, 2, 0, true
P0.5N2L10.form2, 13, 21, 1, true
P0.5N2L10.form3, 16, 1, 2, true
P0.5N2L10.form4, 16, 1, 0, true
P0.5N2L10.form5, 13, 13, 2, true
P0.5N2L10.form6, 16, 0, 0, true
P0.5N2L10.form7, 13, 8, 2, true
P0.5N2L10.form8, 16, 7, 0, true
P0.5N2L10.form9, 13, 3, 1, true
P0.5N2L10.form10, 16, 3, 0, true
P0.5N2L10.form11, 16, 0, 1, true
P0.5N2L10.form12, 13, 5, 1, true
P0.5N2L10.form13, 16, 2, 1, true
P0.5N2L10.form14, 10, 1, 0, true
P0.5N2L10.form15, 10, 4, 0, true
P0.5N2L10.form16, 13, 3, 0, true
P0.5N2L10.form17, 16, 0, 1, true
P0.5N2L10.form18, 10, 2, 1, true
P0.5N2L10.form19, 16, 1, 0, true
P0.5N2L10.form20, 16, 5, 1, true
P0.5N2L10.form21, 13, 1, 0, true
P0.5N2L10.form22, 19, 9, 1, true
P0.5N2L10.form23, 13, 3, 1, true
P0.5N2L10.form24, 10, 2, 1, true
P0.5N2L10.form25, 16, 0, 1, true
P0.5N2L10.form26, 10, 0, 0, true
P0.5N2L10.form27, 19, 8, 1, true
P0.5N2L10.form28, 10, 3, 1, true
P0.5N2L10.form29, 16, 0, 0, true
P0.5N2L10.form30, 10, 0, 1, true
P0.5N2L10.form31, 13, 1, 1, true
P0.5N2L10.form32, 19, 3, 1, true
P0.5N2L10.form33, 16, 3, 1, true
P0.5N2L10.form34, 13, 8, 1, true
P0.5N2L10.form35, 13, 5, 1, true
P0.5N2L10.form36, 13, 1, 0, true
P0.5N2L10.form37, 10, 3, 1, true
P0.5N2L10.form38, 10, 2, 0, true
P0.5N2L10.form39, 16, 6, 1, true
P0.5N2L10.form40, 13, 5, 1, true
P0.5N2L10.form41, 10, 2, 0, true
P0.5N2L10.form42, 19, 3, 0, true
P0.5N2L10.form43, 13, 10, 1, true
P0.5N2L10.form44, 16, 4, 0, true
P0.5N2L10.form45, 16, 7, 0, true
P0.5N2L10.form46, 13, 0, 0, true
P0.5N2L10.form47, 10, 0, 1, true
